condition,condition2,policy1,policy2,policy3,policy4,policy5,policy6,rehab1,rehab2,rehab3,rehab4,age,gender,ethnicity,education,politicalid,attentive
0,2,3,4,5,5,5,4,4,1,4,3,40,2,1,5,5,1
0,2,2,2,5,4,5,4,4,1,5,4,26,2,2,3,3,1
0,2,4,1,4,3,4,3,5,1,5,3,43,2,1,3,3,1
0,2,1,4,5,4,4,4,5,1,5,4,32,2,1,4,3,1
0,2,1,2,2,5,1,1,5,1,5,2,38,1,5,4,4,1
0,2,2,1,3,2,4,3,5,1,5,3,22,2,1,4,2,1
0,2,1,1,1,1,1,1,5,1,5,2,20,1,1,4,2,1
0,2,5,4,5,4,3,4,3,3,3,4,60,1,1,3,,1
0,2,1,2,4,5,4,4,5,1,5,1,55,1,5,1,4,1
0,2,2,4,5,5,5,3,2,3,3,4,28,2,1,2,3,1
0,2,4,2,4,4,5,3,2,2,4,5,31,1,1,4,3,0
0,2,2,5,5,4,5,4,4,2,5,3,62,2,1,4,3,1
0,2,2,4,2,2,4,2,4,2,4,3,36,2,3,4,5,1
0,2,5,5,5,4,4,4,4,2,4,4,20,1,1,5,7,1
0,2,4,4,5,4,4,4,5,1,5,2,64,1,1,3,2,1
0,2,1,1,1,3,3,1,4,1,5,1,40,2,2,4,1,1
0,2,4,4,4,4,4,4,5,1,5,4,21,2,1,4,2,1
0,2,2,5,4,4,4,4,4,1,4,2,42,2,1,4,3,1
0,2,5,4,4,5,5,4,4,2,4,3,35,1,1,3,4,1
0,2,1,1,1,1,1,1,5,1,5,1,45,1,1,4,1,1
0,2,4,5,5,5,5,5,4,1,5,5,58,1,3,2,4,1
0,2,1,5,4,4,5,4,5,1,5,4,45,1,5,4,2,1
0,2,2,4,5,5,5,5,4,1,5,4,60,2,1,4,2,1
0,2,3,2,5,4,4,5,4,4,4,5,41,1,1,4,5,0
0,2,5,4,3,5,3,5,4,1,5,4,27,1,2,5,3,1
0,2,5,1,5,5,2,5,5,1,5,1,27,2,2,7,,1
0,2,4,2,5,2,4,4,5,2,5,4,21,1,1,5,6,1
0,2,4,4,5,2,5,5,4,2,5,4,53,2,3,2,5,1
0,2,2,3,2,1,1,2,4,2,4,4,36,2,3,1,4,1
0,2,2,4,4,4,5,3,4,2,5,3,37,1,3,2,,1
0,2,3,1,1,4,4,4,5,1,5,4,29,2,1,4,2,1
0,2,2,2,4,2,4,3,4,2,5,4,,2,3,3,1,1
0,2,1,4,2,4,3,3,4,2,4,3,20,2,2,4,2,1
0,2,1,2,2,4,2,4,5,1,5,2,22,2,5,5,2,1
0,2,3,4,3,2,4,4,2,3,3,4,29,2,3,4,4,1
0,2,3,3,4,4,4,3,4,2,4,3,49,2,6,3,5,1
0,2,2,4,4,4,5,4,4,1,4,2,49,2,1,4,3,1
0,2,2,2,2,4,4,4,4,1,4,4,47,2,1,1,4,1
0,2,5,4,4,5,4,5,3,1,2,4,28,1,6,5,,1
1,3,1,2,1,1,2,3,4,1,4,4,54,1,1,3,2,1
1,3,1,1,1,4,3,4,4,1,5,2,28,1,5,1,5,1
1,3,1,2,1,2,4,3,5,1,5,2,40,2,1,2,2,1
1,3,4,2,4,1,4,3,5,2,5,4,28,2,1,5,2,1
1,3,5,5,5,5,5,5,4,1,5,3,38,2,1,5,5,1
1,3,4,2,3,2,2,1,4,1,5,2,23,2,1,3,3,1
1,3,3,2,3,3,3,4,4,2,5,3,19,2,1,5,3,1
1,3,4,5,5,5,2,5,5,1,5,4,35,2,1,5,2,1
1,3,2,1,1,3,2,3,5,1,5,4,24,3,1,5,1,1
1,3,5,5,4,5,3,5,4,1,5,4,31,2,1,2,5,1
1,3,4,5,4,5,5,5,3,3,4,5,19,2,6,4,4,1
1,3,4,4,4,5,5,4,3,3,4,3,33,2,1,4,5,1
1,3,4,5,5,4,5,4,4,1,4,4,45,2,1,5,3,1
1,3,5,4,4,4,5,4,3,2,5,4,34,2,1,5,3,1
1,3,2,2,4,2,2,2,5,1,5,1,23,2,1,5,1,1
1,3,5,5,5,5,5,4,4,2,4,3,35,2,1,4,,1
1,3,1,1,1,1,3,2,5,1,5,3,20,2,1,5,2,1
1,3,1,1,2,2,1,2,4,1,5,1,21,2,6,5,2,1
1,3,1,2,1,3,4,4,4,1,5,3,52,1,1,4,3,1
1,3,4,3,4,3,3,4,4,4,4,3,29,2,1,5,1,0
1,3,5,5,5,4,3,3,3,2,4,4,44,2,3,4,4,1
1,3,4,4,5,4,4,4,4,2,5,3,28,1,3,4,3,1
1,3,4,5,5,5,4,5,4,2,4,5,28,2,1,4,3,1
1,3,4,5,5,5,5,5,4,2,5,5,32,1,3,4,3,1
1,3,3,5,4,4,5,5,4,2,4,4,46,1,1,3,5,1
1,3,5,5,5,5,5,5,3,2,4,3,70,2,1,4,4,1
1,3,1,4,5,4,5,4,5,1,5,4,39,2,1,3,2,1
1,3,2,4,4,4,4,5,4,1,5,4,28,2,3,4,3,1
1,3,1,1,1,4,4,1,5,2,5,4,32,2,1,4,3,1
1,3,4,4,4,4,5,2,4,1,3,3,21,2,1,5,5,1
1,3,1,1,1,4,4,5,4,1,5,4,51,2,1,5,3,1
1,3,4,4,2,2,5,3,4,1,4,4,23,1,6,4,,1
1,3,4,2,2,4,4,4,4,1,5,3,54,2,1,4,4,1
1,3,4,1,5,2,5,4,4,1,5,3,32,2,1,2,,1
1,3,4,5,5,4,5,4,4,2,4,4,50,2,1,4,3,1
1,3,3,4,5,5,3,5,3,3,4,4,37,1,7,3,,1
1,3,1,1,2,1,2,3,4,1,5,3,46,2,1,4,2,1
1,3,3,2,2,3,4,4,1,1,5,2,22,2,1,4,4,0
1,3,1,1,2,4,5,4,4,1,5,5,46,2,1,2,2,1
1,3,2,1,2,3,3,1,5,1,4,4,43,2,2,3,3,1
1,3,4,5,5,5,4,5,4,2,4,4,28,2,1,3,,1
1,3,2,4,4,3,5,1,4,1,5,4,21,2,1,4,2,1
1,3,5,3,4,4,5,5,2,1,4,5,34,2,2,4,,1
1,3,3,1,2,4,4,3,5,1,5,4,35,2,1,3,4,1
1,3,2,5,5,5,4,4,4,2,4,4,35,1,1,4,3,1
1,3,2,4,4,4,5,4,4,1,4,4,37,1,1,5,3,1
1,3,2,1,1,1,1,2,5,1,5,1,28,2,5,5,3,1
1,3,4,4,4,4,4,4,3,2,4,3,43,1,5,4,5,1
1,3,4,4,4,4,4,4,4,4,4,3,42,2,3,4,4,0
1,3,2,1,1,3,4,4,5,1,5,4,47,2,1,3,3,1
1,3,3,4,4,4,5,4,4,3,5,4,29,2,1,5,4,1
1,3,2,5,5,4,4,2,5,1,5,2,25,1,3,2,2,1
1,3,4,4,3,4,2,3,5,1,5,2,20,2,3,5,1,1
1,3,2,2,2,4,5,4,4,2,4,2,55,2,1,4,3,1
1,3,3,2,2,4,4,4,4,1,5,4,31,1,6,2,3,1
1,3,2,4,4,4,3,3,5,1,5,3,61,2,2,5,3,1
1,3,4,4,4,2,2,4,5,1,5,3,34,2,6,4,3,1
1,3,3,2,4,4,3,3,4,1,4,3,37,2,1,4,,1
1,3,1,1,1,4,2,2,5,1,5,3,33,2,1,4,3,1
1,3,4,2,2,4,4,4,4,2,5,3,44,1,1,4,3,1
1,3,4,5,5,5,5,5,1,5,2,5,47,1,2,5,4,1
1,3,1,5,5,3,3,3,4,1,5,3,45,1,1,5,3,1
1,3,4,2,3,2,3,3,5,1,5,5,46,2,1,3,4,1
1,3,4,5,5,5,5,5,4,1,5,4,20,1,3,5,4,1
1,3,1,5,5,5,5,5,2,3,3,5,32,1,6,4,,1
1,3,5,5,5,5,5,5,3,5,3,5,28,1,3,3,6,1
1,3,1,5,5,5,5,5,2,4,3,4,29,2,5,2,1,1
1,3,1,1,1,1,1,1,5,1,5,4,21,1,3,5,1,1
1,3,1,1,1,3,2,1,5,1,5,1,44,1,1,2,2,1
1,3,3,3,5,5,5,5,5,1,5,4,43,2,1,5,5,1
1,3,1,1,1,1,1,2,5,1,5,3,30,2,2,4,1,1
1,3,3,4,5,3,5,3,4,1,5,5,30,2,1,3,5,1
1,3,4,5,5,5,4,5,4,3,4,3,29,2,3,4,5,1
1,3,4,5,4,4,5,4,4,1,5,2,45,1,1,4,,1
1,3,2,2,3,4,2,2,4,2,5,3,40,1,1,4,2,1
1,3,2,2,4,3,4,4,5,1,5,3,35,1,1,2,3,1
1,3,1,5,5,4,5,4,2,2,5,5,61,2,7,5,3,0
1,3,2,2,2,2,3,3,5,1,5,3,23,2,2,5,2,1
1,3,4,5,5,4,4,4,4,1,3,3,24,2,6,5,4,1
1,3,4,2,4,4,4,4,5,1,5,2,43,2,5,2,,1
1,3,2,3,1,4,5,3,5,1,5,3,33,1,1,2,3,1
1,3,1,2,1,1,1,1,5,1,5,3,24,2,1,4,2,1
1,3,4,5,5,4,5,5,3,2,5,4,47,1,1,2,5,1
1,3,5,2,3,4,4,2,5,2,5,3,40,1,5,2,5,1
1,3,5,5,4,3,5,3,4,2,4,4,34,1,3,2,3,1
1,3,2,3,4,4,3,4,5,2,4,3,22,2,2,3,3,1
1,3,1,4,4,4,5,4,3,2,4,4,50,2,1,3,,1
1,3,2,4,1,1,2,4,5,1,5,3,35,1,5,3,,1
1,3,2,2,2,4,2,1,5,1,5,4,44,1,1,5,2,1
1,3,4,5,5,5,5,5,2,4,3,4,37,2,1,3,4,1
1,3,1,1,1,1,3,1,3,1,5,3,63,2,1,3,3,1
1,3,3,4,3,5,4,4,4,1,5,4,29,2,5,3,3,1
1,3,4,3,3,2,3,3,3,2,4,4,25,2,1,4,3,1
1,3,4,4,3,4,4,2,4,2,3,3,65,1,1,2,5,1
1,3,1,1,1,3,4,3,5,1,5,1,39,2,1,2,1,1
1,3,4,2,4,1,4,5,5,1,5,2,23,2,1,4,2,1
1,3,1,1,1,4,4,3,5,1,5,3,55,2,1,4,3,1
1,3,1,1,1,5,3,2,5,1,5,2,44,2,1,4,2,1
1,3,5,5,5,4,5,5,5,2,4,2,48,1,3,2,,1
1,3,1,2,3,3,4,2,5,1,5,2,26,2,1,3,3,1
0,4,5,5,5,5,5,4,2,2,3,5,30,2,3,2,5,0
0,4,2,4,2,1,2,2,5,2,5,2,34,1,1,3,1,1
